CellCode	CellType
ov04__c01498	Normal
ov04__c01526	Normal
ov04__c01540	Normal
ov04__c01548	Tumor
ov04__c01557	Tumor
ov04__c01624	Normal
ov04__c01661	Normal
ov04__c01686	Normal
ov04__c01696	Normal
ov04__c01700	Normal
ov04__c01752	Normal
ov04__c01756	Normal
ov04__c01784	Normal
ov04__c01796	Normal
ov04__c01809	Normal
ov04__c01863	Normal
ov04__c01902	Tumor
ov04__c01916	Normal
ov04__c01928	Normal
ov04__c01938	Normal
ov04__c01971	Normal
ov04__c01983	Normal
ov04__c01990	Normal
ov04__c02004	Normal
ov04__c02016	Normal
ov04__c02024	Normal
ov04__c02034	Normal
ov04__c02063	Normal
ov04__c02064	Normal
ov04__c02072	Normal
ov04__c02073	Tumor
ov04__c02095	Normal
ov04__c02100	Normal
ov04__c02116	Normal
ov04__c02126	Normal
ov04__c02153	Normal
ov04__c02174	Normal
ov04__c02209	Normal
ov04__c02241	Normal
ov04__c02254	Normal
ov04__c02260	Normal
ov04__c02282	Normal
ov04__c02286	Normal
ov04__c02305	Tumor
ov04__c02345	Tumor
ov04__c02356	Normal
ov04__c02363	Normal
ov04__c02422	Normal
ov04__c02447	Tumor
ov04__c02469	Normal
ov04__c02496	Normal
ov04__c02519	Normal
ov04__c02526	Normal
ov04__c02543	Normal
ov04__c02578	Normal
ov04__c02590	Normal
ov04__c02603	Normal
ov04__c02614	Normal
ov04__c02660	Normal
ov04__c02674	Normal
ov04__c02678	Normal
ov04__c02703	Normal
ov04__c02712	Normal
ov04__c02735	Tumor
ov04__c02760	Normal
ov04__c02781	Tumor
ov04__c02830	Normal
ov04__c02832	Normal
ov04__c02833	Normal
ov04__c02839	Normal
ov04__c02869	Tumor
ov04__c02881	Normal
ov04__c02906	Normal
ov04__c02924	Normal
ov04__c02938	Normal
ov04__c02946	Normal
ov04__c02970	Tumor
ov04__c02992	Normal
ov04__c02997	Normal
ov04__c03017	Tumor
ov04__c03022	Normal
ov04__c03028	Normal
ov04__c03041	Normal
ov04__c03059	Normal
ov04__c03061	Normal
ov04__c03101	Normal
ov04__c03103	Tumor
ov04__c03168	Normal
ov04__c03201	Normal
ov04__c03204	Normal
ov04__c03217	Normal
ov04__c03227	Normal
ov04__c03263	Normal
ov04__c03293	Normal
ov04__c03310	Normal
ov04__c03320	Normal
ov04__c03331	Normal
ov04__c03338	Normal
ov04__c03362	Normal
ov04__c03412	Normal
ov04__c03445	Normal
ov04__c03491	Normal
ov04__c03492	Normal
ov04__c03518	Normal
ov04__c03523	Normal
ov04__c03551	Normal
ov04__c03557	Normal
ov04__c03558	Normal
ov04__c03567	Normal
ov04__c03575	Normal
ov04__c03576	Tumor
ov04__c03585	Normal
ov04__c03593	Normal
ov04__c03606	Normal
ov04__c03616	Normal
ov04__c03660	Normal
ov04__c03680	Normal
ov04__c03684	Normal
ov04__c03686	Normal
ov04__c03690	Normal
ov04__c03693	Tumor
ov04__c03694	Normal
ov04__c03700	Normal
ov04__c03721	Tumor
ov04__c03722	Normal
ov04__c03744	Normal
ov04__c03745	Normal
ov04__c03766	Normal
ov04__c03768	Normal
ov04__c03778	Tumor
ov04__c03856	Normal
ov04__c03858	Normal
ov04__c03860	Normal
ov04__c03868	Normal
ov04__c03876	Normal
ov04__c03888	Normal
ov04__c03898	Normal
ov04__c03907	Normal
ov04__c03931	Normal
ov04__c03938	Normal
ov04__c03944	Normal
ov04__c03965	Normal
ov04__c03971	Normal
ov04__c04003	Normal
ov04__c04008	Tumor
ov04__c04034	Normal
ov04__c04054	Normal
ov04__c04067	Normal
ov04__c04108	Normal
ov04__c04131	Normal
ov04__c04157	Normal
ov04__c04192	Normal
ov04__c04205	Normal
ov04__c04233	Normal
ov04__c04262	Normal
ov04__c04308	Normal
ov04__c04327	Normal
ov04__c04382	Normal
ov04__c04386	Normal
ov04__c04400	Normal
ov107__c00002	Normal
ov107__c00003	Normal
ov107__c00007	Normal
ov107__c00022	Normal
ov107__c00027	Normal
ov107__c00033	Tumor
ov107__c00041	Normal
ov107__c00044	Normal
ov107__c00061	Normal
ov107__c00072	Normal
ov107__c00084	Normal
ov107__c00118	Normal
ov107__c00157	Normal
ov107__c00165	Normal
ov107__c00186	Normal
ov107__c00207	Normal
ov107__c00212	Normal
ov107__c00215	Normal
ov107__c00236	Normal
ov107__c00255	Normal
ov107__c00257	Normal
ov107__c00264	Normal
ov107__c00272	Normal
ov107__c00277	Normal
ov107__c00302	Normal
ov107__c00304	Normal
ov107__c00310	Normal
ov107__c00312	Normal
ov107__c00325	Normal
ov107__c00331	Normal
ov107__c00335	Normal
ov107__c00351	Normal
ov107__c00352	Normal
ov107__c00375	Normal
ov107__c00387	Normal
ov107__c00406	Normal
ov107__c00408	Normal
ov107__c00412	Normal
ov107__c00414	Normal
ov107__c00420	Normal
ov107__c00428	Normal
ov107__c00462	Normal
ov107__c00465	Normal
ov107__c00481	Normal
ov107__c00492	Normal
ov107__c00497	Normal
ov107__c00514	Normal
ov107__c00516	Normal
ov107__c00523	Normal
ov107__c00528	Normal
ov107__c00532	Normal
ov107__c00536	Normal
ov107__c00572	Normal
ov107__c00578	Normal
ov107__c00588	Normal
ov107__c00605	Normal
ov107__c00629	Normal
ov107__c00667	Normal
ov107__c00669	Normal
ov107__c00678	Normal
ov107__c00690	Normal
ov107__c00694	Normal
ov107__c00702	Normal
ov107__c00703	Normal
ov107__c00712	Normal
ov107__c00723	Normal
ov107__c00724	Normal
ov107__c00743	Normal
ov107__c00744	Normal
ov107__c00752	Normal
ov107__c00760	Normal
ov107__c00784	Tumor
ov107__c00795	Normal
ov107__c00798	Normal
ov107__c00811	Normal
ov107__c00834	Normal
ov107__c00852	Normal
ov107__c00854	Normal
ov107__c00858	Normal
ov107__c00874	Normal
ov107__c00896	Normal
ov107__c00897	Normal
ov107__c00918	Normal
ov107__c00953	Normal
ov107__c00969	Normal
ov107__c00974	Normal
ov107__c00975	Normal
ov107__c00990	Normal
ov107__c00992	Normal
ov107__c00996	Normal
ov107__c01010	Normal
ov107__c01012	Normal
ov107__c01026	Normal
ov107__c01030	Normal
ov107__c01043	Normal
ov107__c01061	Normal
ov107__c01085	Normal
ov107__c01104	Normal
ov107__c01106	Normal
ov107__c01115	Normal
ov107__c01158	Normal
ov107__c01159	Normal
ov107__c01173	Normal
ov107__c01174	Normal
ov107__c01196	Normal
ov107__c01216	Normal
ov107__c01230	Normal
ov107__c01231	Normal
ov107__c01238	Normal
ov107__c01281	Normal
ov107__c01302	Normal
ov107__c01310	Normal
ov107__c01312	Normal
ov107__c01315	Normal
ov107__c01346	Normal
ov107__c01350	Normal
ov107__c01364	Normal
ov107__c01383	Normal
ov107__c01385	Normal
ov107__c01403	Normal
ov107__c01428	Normal
ov107__c01432	Normal
ov107__c01436	Normal
ov107__c01440	Normal
ov107__c01442	Normal
ov110__c00035	Tumor
ov110__c00055	Normal
ov110__c00063	Normal
ov110__c00087	Normal
ov110__c00101	Normal
ov110__c00147	Normal
ov110__c00150	Normal
ov110__c00164	Normal
ov110__c00179	Tumor
ov110__c00186	Normal
ov110__c00246	Normal
ov110__c00249	Normal
ov110__c00254	Normal
ov110__c00267	Normal
ov110__c00274	Normal
ov110__c00287	Normal
ov110__c00318	Normal
ov110__c00349	Tumor
ov110__c00358	Normal
ov110__c00368	Normal
ov110__c00370	Normal
ov110__c00377	Normal
ov110__c00425	Normal
ov110__c00428	Normal
ov110__c00431	Normal
ov110__c00456	Tumor
ov110__c00463	Tumor
ov110__c00489	Tumor
ov110__c00491	Tumor
ov110__c00513	Normal
ov110__c00534	Normal
ov110__c00539	Tumor
ov110__c00559	Normal
ov110__c00561	Tumor
ov110__c00566	Normal
ov110__c00569	Normal
ov110__c00587	Normal
ov110__c00612	Normal
ov110__c00649	Normal
ov110__c00661	Tumor
ov110__c00662	Normal
ov110__c00674	Normal
ov110__c00686	Normal
ov110__c00703	Tumor
ov110__c00704	Normal
ov110__c00737	Normal
ov110__c00786	Normal
ov110__c00822	Normal
ov110__c00825	Normal
ov110__c00834	Normal
ov110__c00852	Normal
ov110__c00899	Tumor
ov110__c00929	Tumor
ov110__c00939	Normal
ov110__c00947	Tumor
ov110__c00967	Normal
ov110__c00971	Tumor
ov110__c00977	Normal
ov110__c01051	Normal
ov110__c01060	Tumor
ov110__c01068	Normal
ov110__c01093	Normal
ov110__c01121	Tumor
ov110__c01132	Normal
ov110__c01133	Tumor
ov110__c01135	Normal
ov110__c01147	Tumor
ov110__c01156	Normal
ov110__c01176	Normal
ov110__c01185	Tumor
ov110__c01194	Normal
ov110__c01220	Normal
ov110__c01227	Normal
ov110__c01266	Normal
ov110__c01301	Normal
ov110__c01332	Normal
ov110__c01377	Tumor
ov110__c01380	Tumor
ov110__c01385	Normal
ov110__c01401	Normal
ov110__c01437	Normal
ov110__c01455	Normal
ov110__c01480	Tumor
ov110__c01501	Normal
ov110__c01510	Normal
ov110__c01529	Normal
ov110__c01545	Normal
ov110__c01547	Tumor
ov110__c01605	Tumor
ov110__c01610	Normal
ov110__c01626	Normal
ov110__c01654	Normal
ov110__c01657	Normal
ov110__c01665	Tumor
ov110__c01689	Tumor
ov110__c01712	Normal
ov110__c01716	Tumor
ov110__c01740	Normal
ov110__c01772	Normal
ov110__c01812	Normal
ov110__c01817	Normal
ov110__c01853	Normal
ov110__c01864	Normal
ov110__c01875	Tumor
ov110__c01897	Tumor
ov110__c01922	Tumor
ov110__c01943	Normal
ov110__c01951	Normal
ov110__c01991	Normal
ov110__c01992	Normal
ov110__c01996	Normal
ov110__c02003	Tumor
ov110__c02009	Normal
ov110__c02029	Normal
ov110__c02033	Tumor
ov110__c02034	Normal
ov110__c02054	Normal
ov110__c02069	Tumor
ov110__c02085	Normal
ov110__c02088	Normal
ov110__c02100	Tumor
ov110__c02106	Normal
ov110__c02107	Normal
ov110__c02113	Normal
ov110__c02139	Tumor
ov110__c02146	Tumor
ov110__c02158	Normal
ov110__c02191	Tumor
ov110__c02217	Normal
ov110__c02245	Normal
ov110__c02249	Normal
ov110__c02252	Tumor
ov110__c02301	Tumor
ov110__c02307	Tumor
ov110__c02325	Tumor
ov110__c02397	Normal
ov110__c02411	Tumor
ov110__c02418	Tumor
ov110__c02423	Normal
ov110__c02461	Normal
ov110__c02469	Tumor
ov110__c02559	Tumor
ov110__c02564	Tumor
ov110__c02581	Normal
ov110__c02599	Normal
ov110__c02619	Normal
ov110__c02635	Normal
ov110__c02649	Tumor
ov110__c02674	Tumor
ov110__c02686	Tumor
ov110__c02694	Normal
ov110__c02696	Tumor
ov110__c02709	Normal
ov110__c02710	Tumor
ov110__c02734	Normal
ov110__c02742	Normal
ov110__c02744	Normal
ov110__c02765	Tumor
ov110__c02781	Normal
ov110__c02789	Tumor
ov110__c02790	Normal
ov110__c02810	Normal
ov110__c02822	Tumor
ov110__c02829	Normal
ov110__c02861	Normal
ov110__c02878	Normal
ov110__c02888	Normal
ov110__c02890	Tumor
ov110__c02927	Tumor
ov110__c02957	Normal
ov110__c03006	Tumor
ov110__c03030	Normal
ov110__c03068	Tumor
ov110__c03071	Normal
ov110__c03105	Normal
ov110__c03106	Normal
ov110__c03108	Normal
ov110__c03122	Normal
ov110__c03157	Normal
ov110__c03161	Normal
ov110__c03164	Normal
ov110__c03176	Normal
ov110__c03230	Normal
ov110__c03260	Tumor
ov110__c03266	Normal
ov110__c03319	Normal
ov110__c03324	Tumor
ov110__c03326	Normal
ov110__c03353	Tumor
ov110__c03389	Tumor
ov110__c03390	Normal
ov110__c03430	Tumor
ov110__c03452	Tumor
ov110__c03470	Normal
ov110__c03539	Tumor
ov110__c03546	Normal
ov110__c03553	Normal
ov110__c03557	Tumor
ov110__c03713	Normal
ov110__c03732	Normal
ov110__c03737	Normal
ov110__c03740	Tumor
ov110__c03754	Normal
ov110__c03767	Tumor
ov110__c03784	Normal
ov110__c03805	Normal
ov110__c03810	Normal
ov110__c03844	Normal
ov110__c03886	Normal
ov110__c04019	Normal
ov110__c04026	Normal
ov110__c04039	Tumor
ov110__c04068	Normal
ov110__c04090	Normal
ov110__c04129	Tumor
ov110__c04136	Normal
ov110__c04162	Tumor
ov110__c04166	Normal
ov110__c04180	Normal
ov110__c04231	Tumor
ov110__c04251	Normal
ov110__c04309	Tumor
ov110__c04343	Normal
ov110__c04347	Tumor
ov110__c04367	Tumor
ov110__c04374	Tumor
ov110__c04381	Tumor
ov110__c04386	Normal
ov110__c04427	Tumor
ov110__c04442	Normal
ov110__c04458	Normal
ov110__c04477	Normal
ov110__c04481	Normal
ov110__c04504	Tumor
ov110__c04528	Tumor
ov110__c04547	Normal
ov110__c04588	Normal
ov110__c04615	Tumor
ov110__c04630	Normal
ov110__c04639	Normal
ov110__c04689	Normal
ov110__c04698	Normal
ov110__c04702	Normal
ov110__c04711	Tumor
ov110__c04773	Normal
ov110__c04787	Tumor
ov110__c04795	Normal
ov110__c04804	Tumor
ov110__c04816	Tumor
ov110__c04836	Normal
ov110__c04837	Normal
ov110__c04839	Normal
ov110__c04888	Normal
ov110__c04895	Tumor
ov110__c04948	Normal
ov110__c04968	Tumor
ov17__c00005	Normal
ov17__c00073	Normal
ov17__c00089	Normal
ov17__c00098	Tumor
ov17__c00123	Normal
ov17__c00124	Tumor
ov17__c00178	Normal
ov17__c00200	Tumor
ov17__c00202	Normal
ov17__c00213	Normal
ov17__c00235	Normal
ov17__c00250	Tumor
ov17__c00285	Normal
ov17__c00287	Tumor
ov17__c00302	Tumor
ov17__c00320	Tumor
ov17__c00378	Normal
ov17__c00379	Tumor
ov17__c00383	Tumor
ov17__c00385	Normal
ov17__c00389	Normal
ov17__c00390	Normal
ov17__c00395	Normal
ov17__c00455	Tumor
ov17__c00469	Tumor
ov17__c00528	Normal
ov17__c00546	Normal
ov17__c00547	Normal
ov17__c00583	Normal
ov17__c00601	Normal
ov17__c00662	Normal
ov17__c00675	Normal
ov17__c00742	Tumor
ov17__c00788	Normal
ov17__c00901	Tumor
ov17__c00951	Normal
ov17__c00976	Normal
ov17__c00992	Normal
ov17__c00993	Normal
ov17__c00995	Tumor
ov17__c00996	Normal
ov17__c01084	Tumor
ov17__c01086	Tumor
ov17__c01090	Tumor
ov17__c01133	Normal
ov17__c01149	Normal
ov17__c01150	Normal
ov17__c01163	Normal
ov17__c01184	Normal
ov17__c01193	Normal
ov17__c01201	Normal
ov17__c01203	Normal
ov17__c01207	Normal
ov17__c01229	Normal
ov17__c01230	Normal
ov17__c01234	Tumor
ov17__c01237	Normal
ov17__c01255	Normal
ov17__c01279	Tumor
ov17__c01300	Normal
ov17__c01305	Tumor
ov17__c01354	Normal
ov17__c01357	Normal
ov17__c01383	Normal
ov17__c01385	Normal
ov17__c01393	Normal
ov17__c01411	Normal
ov17__c01434	Tumor
ov17__c01477	Tumor
ov17__c01487	Tumor
ov17__c01493	Normal
ov17__c01498	Normal
ov17__c01525	Normal
ov17__c01542	Normal
ov17__c01543	Normal
ov17__c01568	Normal
ov17__c01606	Normal
ov17__c01614	Tumor
ov17__c01616	Normal
ov17__c01647	Tumor
ov17__c01703	Normal
ov17__c01734	Tumor
ov17__c01766	Tumor
ov17__c01789	Normal
ov17__c01811	Normal
ov17__c01858	Tumor
ov17__c01868	Normal
ov17__c01881	Normal
ov17__c01895	Normal
ov17__c01906	Normal
ov17__c01933	Tumor
ov17__c01969	Normal
ov17__c01989	Tumor
ov17__c02009	Normal
ov17__c02020	Normal
ov17__c02026	Normal
ov17__c02030	Tumor
ov17__c02045	Tumor
ov17__c02046	Normal
ov17__c02062	Normal
ov17__c02187	Normal
ov17__c02193	Normal
ov17__c02197	Normal
ov17__c02206	Normal
ov17__c02214	Normal
ov17__c02219	Normal
ov17__c02242	Normal
ov17__c02274	Normal
ov17__c02332	Tumor
ov17__c02355	Normal
ov17__c02375	Normal
ov17__c02400	Normal
ov17__c02416	Normal
ov17__c02427	Normal
ov17__c02431	Normal
ov17__c02432	Normal
ov17__c02435	Normal
ov17__c02477	Tumor
ov17__c02490	Normal
ov17__c02507	Normal
ov17__c02509	Tumor
ov17__c02519	Normal
ov17__c02555	Normal
ov17__c02559	Normal
ov17__c02571	Normal
ov17__c02582	Normal
ov17__c02694	Normal
ov17__c02734	Normal
ov17__c02754	Normal
ov17__c02764	Tumor
ov17__c02778	Tumor
ov17__c02787	Normal
ov17__c02831	Tumor
ov18__c00007	Normal
ov18__c00026	Normal
ov18__c00040	Normal
ov18__c00044	Normal
ov18__c00054	Normal
ov18__c00081	Normal
ov18__c00103	Tumor
ov18__c00122	Normal
ov18__c00128	Tumor
ov18__c00151	Normal
ov18__c00173	Normal
ov18__c00193	Tumor
ov18__c00262	Normal
ov18__c00263	Normal
ov18__c00283	Normal
ov18__c00303	Tumor
ov18__c00308	Tumor
ov18__c00345	Normal
ov18__c00349	Normal
ov18__c00370	Normal
ov18__c00405	Normal
ov18__c00424	Normal
ov18__c00425	Normal
ov18__c00429	Normal
ov18__c00434	Normal
ov18__c00445	Normal
ov18__c00446	Normal
ov18__c00461	Normal
ov18__c00508	Normal
ov18__c00544	Tumor
ov18__c00546	Normal
ov18__c00560	Normal
ov18__c00565	Normal
ov18__c00589	Normal
ov18__c00600	Normal
ov18__c00613	Normal
ov18__c00626	Tumor
ov18__c00655	Tumor
ov18__c00681	Normal
ov18__c00785	Tumor
ov18__c00840	Normal
ov18__c00862	Normal
ov18__c00876	Normal
ov18__c00878	Normal
ov18__c00883	Normal
ov18__c00884	Normal
ov18__c00951	Normal
ov18__c00967	Tumor
ov18__c00969	Normal
ov18__c01005	Tumor
ov18__c01011	Normal
ov18__c01028	Normal
ov18__c01064	Normal
ov18__c01096	Normal
ov18__c01100	Tumor
ov18__c01105	Normal
ov18__c01141	Normal
ov18__c01204	Normal
ov18__c01244	Normal
ov18__c01246	Tumor
ov18__c01263	Normal
ov18__c01275	Normal
ov18__c01289	Normal
ov18__c01294	Normal
ov18__c01309	Normal
ov18__c01376	Normal
ov18__c01380	Normal
ov18__c01391	Normal
ov18__c01420	Normal
ov18__c01441	Normal
ov18__c01452	Normal
ov18__c01453	Normal
ov18__c01535	Normal
ov18__c01558	Normal
ov18__c01580	Normal
ov18__c01582	Normal
ov18__c01588	Normal
ov18__c01602	Normal
ov18__c01632	Normal
ov18__c01658	Normal
ov18__c01679	Normal
ov18__c01687	Normal
ov18__c01717	Normal
ov18__c01723	Normal
ov18__c01731	Normal
ov18__c01735	Normal
ov18__c01759	Normal
ov18__c01803	Normal
ov18__c01807	Normal
ov18__c01809	Tumor
ov18__c01823	Normal
ov18__c01829	Tumor
ov18__c01852	Normal
ov18__c01859	Normal
ov18__c01898	Normal
ov18__c01930	Normal
ov18__c01932	Normal
ov18__c01941	Normal
ov18__c01943	Normal
ov18__c01960	Normal
ov18__c01965	Normal
ov18__c01974	Normal
ov18__c02056	Tumor
ov18__c02095	Normal
ov18__c02100	Normal
ov18__c02105	Normal
ov18__c02145	Tumor
ov18__c02155	Normal
ov18__c02158	Normal
ov18__c02195	Normal
ov18__c02198	Normal
ov18__c02213	Normal
ov18__c02220	Normal
ov18__c02285	Normal
ov18__c02287	Normal
ov18__c02291	Normal
ov18__c02320	Normal
ov18__c02345	Normal
ov18__c02357	Tumor
ov18__c02400	Normal
ov18__c02409	Normal
ov18__c02412	Normal
ov18__c02419	Normal
ov18__c02420	Normal
ov18__c02430	Normal
ov18__c02436	Normal
ov18__c02437	Normal
ov18__c02483	Normal
ov18__c02486	Normal
ov18__c02493	Normal
ov18__c02519	Normal
ov18__c02530	Normal
ov18__c02558	Normal
ov18__c02594	Normal
ov18__c02597	Normal
ov18__c02601	Tumor
ov18__c02602	Tumor
ov18__c02636	Normal
ov18__c02639	Normal
ov18__c02644	Normal
ov18__c02645	Normal
ov18__c02657	Normal
ov18__c02665	Tumor
ov18__c02674	Normal
ov18__c02704	Normal
ov18__c02715	Normal
ov18__c02730	Tumor
ov18__c02770	Normal
ov18__c02822	Normal
ov18__c02853	Normal
ov18__c02857	Normal
ov18__c02862	Normal
ov18__c02867	Normal
ov18__c02874	Normal
ov18__c02888	Normal
ov18__c02916	Normal
ov18__c02932	Normal
ov18__c02942	Normal
ov18__c02957	Normal
ov18__c02960	Normal
ov18__c02975	Tumor
ov18__c02979	Normal
ov18__c02993	Normal
ov18__c03004	Normal
ov18__c03006	Normal
ov18__c03040	Normal
ov18__c03165	Normal
ov18__c03166	Normal
ov18__c03188	Normal
ov18__c03196	Normal
ov18__c03209	Normal
ov18__c03217	Normal
ov18__c03221	Tumor
ov18__c03232	Normal
ov18__c03247	Normal
ov18__c03262	Normal
ov18__c03263	Normal
ov18__c03291	Normal
ov18__c03316	Normal
ov18__c03330	Normal
ov18__c03337	Normal
ov18__c03348	Normal
ov18__c03392	Normal
ov18__c03393	Normal
ov18__c03402	Normal
ov18__c03407	Tumor
ov18__c03442	Tumor
ov18__c03483	Tumor
ov18__c03555	Normal
ov18__c03571	Normal
ov18__c03573	Tumor
ov18__c03582	Normal
ov18__c03594	Normal
ov18__c03596	Normal
ov18__c03600	Normal
ov18__c03705	Normal
ov18__c03707	Normal
ov18__c03716	Normal
ov18__c03717	Tumor
ov18__c03747	Normal
ov18__c03775	Normal
ov18__c03800	Normal
ov18__c03807	Normal
ov18__c03833	Normal
ov18__c03834	Normal
ov18__c03849	Normal
ov18__c03850	Normal
ov18__c03853	Normal
ov18__c03863	Normal
ov18__c03864	Normal
ov18__c03879	Normal
ov18__c03893	Normal
ov18__c03924	Normal
ov18__c03939	Normal
ov18__c03966	Tumor
ov18__c03967	Normal
ov18__c03972	Tumor
ov18__c03993	Normal
ov18__c03998	Tumor
ov18__c04009	Normal
ov18__c04012	Tumor
ov18__c04042	Normal
ov18__c04049	Tumor
ov18__c04060	Normal
ov18__c04108	Tumor
ov18__c04133	Tumor
ov18__c04147	Normal
ov18__c04150	Normal
ov18__c04178	Normal
ov18__c04184	Normal
ov18__c04197	Normal
ov18__c04198	Tumor
ov18__c04203	Normal
ov18__c04285	Tumor
ov18__c04307	Normal
ov18__c04309	Normal
ov18__c04326	Normal
ov18__c04329	Normal
ov18__c04334	Normal
ov18__c04337	Normal
ov18__c04340	Normal
ov18__c04342	Tumor
ov18__c04348	Tumor
ov18__c04357	Normal
ov18__c04400	Normal
ov18__c04402	Tumor
ov18__c04419	Normal
ov18__c04422	Normal
ov18__c04439	Normal
ov18__c04454	Normal
ov18__c04475	Normal
ov18__c04518	Normal
ov18__c04552	Normal
ov18__c04559	Tumor
ov18__c04577	Normal
ov18__c04580	Normal
ov18__c04585	Normal
ov18__c04601	Normal
ov18__c04670	Normal
ov18__c04674	Normal
ov18__c04675	Normal
ov18__c04680	Normal
ov18__c04683	Tumor
ov18__c04708	Normal
ov18__c04719	Normal
ov18__c04729	Tumor
ov18__c04778	Normal
ov18__c04800	Normal
ov18__c04819	Normal
ov18__c04836	Normal
ov18__c04848	Normal
ov18__c04851	Tumor
ov18__c04853	Normal
ov18__c04875	Tumor
ov18__c04879	Normal
ov18__c04904	Normal
ov18__c04943	Tumor
ov18__c04958	Normal
ov18__c04962	Tumor
ov18__c04964	Normal
ov18__c05030	Normal
ov18__c05051	Normal
ov18__c05064	Normal
ov18__c05066	Normal
ov18__c05069	Normal
ov18__c05075	Normal
ov18__c05086	Normal
ov18__c05109	Tumor
ov18__c05149	Tumor
ov18__c05173	Normal
ov18__c05179	Normal
ov18__c05189	Normal
ov18__c05201	Normal
ov18__c05205	Normal
ov18__c05207	Normal
ov18__c05254	Normal
ov18__c05284	Normal
ov18__c05303	Normal
ov18__c05309	Normal
ov18__c05315	Tumor
ov18__c05316	Normal
ov18__c05349	Normal
ov18__c05397	Normal
ov18__c05400	Normal
ov18__c05405	Normal
ov18__c05415	Normal
ov18__c05428	Normal
ov18__c05430	Tumor
ov18__c05432	Normal
ov18__c05437	Normal
ov18__c05488	Normal
ov18__c05491	Tumor
ov18__c05512	Normal
ov18__c05514	Normal
ov18__c05517	Normal
ov18__c05537	Normal
ov18__c05598	Normal
ov18__c05604	Tumor
ov18__c05616	Tumor
ov18__c05617	Normal
ov18__c05618	Normal
ov18__c05636	Normal
ov18__c05641	Normal
ov18__c05662	Normal
ov18__c05675	Normal
ov18__c05683	Normal
ov18__c05687	Tumor
ov18__c05709	Normal
ov18__c05730	Normal
ov18__c05740	Normal
ov18__c05753	Normal
ov18__c05792	Normal
ov18__c05821	Normal
ov18__c05824	Tumor
ov18__c05842	Tumor
ov18__c05860	Tumor
ov18__c05875	Tumor
ov18__c05885	Normal
ov18__c05928	Normal
ov18__c05935	Normal
ov18__c05945	Tumor
ov18__c05997	Normal
ov18__c06007	Normal
ov18__c06028	Tumor
ov18__c06031	Normal
ov18__c06049	Normal
ov18__c06064	Normal
ov18__c06069	Normal
ov18__c06094	Normal
ov18__c06096	Normal
ov18__c06100	Normal
ov18__c06105	Normal
ov18__c06153	Normal
ov18__c06163	Normal
ov18__c06187	Tumor
ov34__c00002	Tumor
ov34__c00030	Tumor
ov34__c00043	Tumor
ov34__c00057	Normal
ov34__c00061	Tumor
ov34__c00065	Tumor
ov34__c00154	Tumor
ov34__c00207	Tumor
ov34__c00229	Tumor
ov34__c00247	Normal
ov34__c00285	Tumor
ov34__c00294	Tumor
ov34__c00303	Tumor
ov34__c00313	Tumor
ov34__c00320	Tumor
ov34__c00321	Normal
ov34__c00329	Normal
ov34__c00344	Tumor
ov34__c00350	Tumor
ov34__c00356	Tumor
ov34__c00409	Tumor
ov34__c00413	Tumor
ov34__c00418	Normal
